Fiscal Year,Payroll Number,Agency Name,Agency Start Date,Work Location Borough,Title Description,Leave Status as of June 30,Base Salary,Pay Basis,Regular Hours,Regular Gross Paid,OT Hours,Total OT Paid,Total Other Pay,Hourly Rate,Under Min Wage
2025,67,ADMIN FOR CHILDREN'S SVCS,3/11/2024,BROOKLYN,SPECIAL OFFICER,ACTIVE,39206,per Annum,2080,37617.84,522.25,15266,9459.09,18.09,FALSE
2025,67,ADMIN FOR CHILDREN'S SVCS,5/1/2023,MANHATTAN,SPECIAL OFFICER,ACTIVE,40502,per Annum,1968,36668.19,120.75,3279.62,3657.78,18.63,FALSE
2025,67,ADMIN FOR CHILDREN'S SVCS,10/3/2022,BROOKLYN,SPECIAL OFFICER,ACTIVE,41797,per Annum,2080,39744.15,316.25,9399.21,8878.54,19.11,FALSE
2025,67,ADMIN FOR CHILDREN'S SVCS,6/28/2004,MANHATTAN,COMMUNITY ASSISTANT,ACTIVE,43589,per Annum,1820,42219.99,0,0,1497.01,23.2,FALSE
2025,67,ADMIN FOR CHILDREN'S SVCS,6/23/1996,MANHATTAN,CLERICAL ASSOCIATE MOST MAYORAL AG,ACTIVE,44206,per Annum,1820,42817.43,1,28.14,7005.22,23.53,FALSE
2025,67,ADMIN FOR CHILDREN'S SVCS,11/21/2022,BRONX,INSTITUTIONAL AIDE,ACTIVE,46256,per Annum,1950,42139.11,580.75,17056.04,812.92,21.61,FALSE
2025,67,ADMIN FOR CHILDREN'S SVCS,10/24/2022,MANHATTAN,COMMUNITY ASSOCIATE,ACTIVE,51227,per Annum,1193,27034.59,0,0,0,22.66,FALSE
2025,67,ADMIN FOR CHILDREN'S SVCS,3/12/2018,MANHATTAN,CONGREG CARE SPEC - ACS,ACTIVE,52065,per Annum,1855,51133.69,613.25,22283.89,2705.87,27.57,FALSE
2025,67,ADMIN FOR CHILDREN'S SVCS,12/15/1997,MANHATTAN,CASEWORKER,ACTIVE,55709,per Annum,1820,53965.18,0,0,5054.29,29.65,FALSE
2025,67,ADMIN FOR CHILDREN'S SVCS,11/28/2016,MANHATTAN,SPECIAL OFFICER,ACTIVE,56508,per Annum,2080,54458.39,379,15272.66,7842.19,26.18,FALSE
2025,67,ADMIN FOR CHILDREN'S SVCS,1/29/2024,BRONX,YOUTH DEVELOPMENT SPECIALIST,ACTIVE,57310,per Annum,1820,53279.82,918.75,36705.24,9402.9,29.27,FALSE
2025,67,ADMIN FOR CHILDREN'S SVCS,11/20/2023,BROOKLYN,YOUTH DEVELOPMENT SPECIALIST,ACTIVE,57310,per Annum,1820,55291.84,1025.5,43235.09,10545.18,30.38,FALSE
2025,67,ADMIN FOR CHILDREN'S SVCS,7/5/2022,MANHATTAN,TELECOMMUNICATIONS ASSOCIATE,ACTIVE,57989,per Annum,1820,56197.79,217,8642.59,994.49,30.88,FALSE
2025,67,ADMIN FOR CHILDREN'S SVCS,4/17/2000,MANHATTAN,PRINCIPAL ADMINISTRATIVE ASSOCIATE -  NON SUPVR,ACTIVE,61614,per Annum,1820,60539.07,109.25,4181.32,5066.25,33.26,FALSE
2025,67,ADMIN FOR CHILDREN'S SVCS,9/24/2007,MANHATTAN,SUPERVISING SPECIAL OFFICER,ACTIVE,62894,per Annum,2080,60596.44,196.25,8603.49,3702.55,29.13,FALSE
2025,67,ADMIN FOR CHILDREN'S SVCS,10/11/2005,MANHATTAN,SUPERVISING SPECIAL OFFICER,ACTIVE,62894,per Annum,2080,60596.44,55,2366.48,2268.82,29.13,FALSE
2025,67,ADMIN FOR CHILDREN'S SVCS,6/23/1996,MANHATTAN,CLERICAL ASSOCIATE MOST MAYORAL AG,ACTIVE,62908,per Annum,1820,60942.35,36.25,1376.07,5735.77,33.48,FALSE
2025,67,ADMIN FOR CHILDREN'S SVCS,11/20/2023,MANHATTAN,CHILD PROTECTIVE SPECIALIST,ACTIVE,64059,per Annum,1365,46892.22,91.25,3533.84,72.42,34.35,FALSE
2025,67,ADMIN FOR CHILDREN'S SVCS,11/20/2023,QUEENS,CHILD PROTECTIVE SPECIALIST,ACTIVE,64059,per Annum,1820,62432.27,378.75,16394.24,162.8,34.3,FALSE
2025,67,ADMIN FOR CHILDREN'S SVCS,5/20/2024,BROOKLYN,CHILD PROTECTIVE SPECIALIST,ACTIVE,64059,per Annum,1820,58720.48,48.75,1854.49,172.29,32.26,FALSE
2025,67,ADMIN FOR CHILDREN'S SVCS,3/27/2023,MANHATTAN,CHILD WELFARE SPECIALIST,ACTIVE,64600,per Annum,1820,61457.89,12,538,1073.66,33.77,FALSE
2025,67,ADMIN FOR CHILDREN'S SVCS,6/23/1996,MANHATTAN,CHILD WELFARE SPECIALIST,ACTIVE,64903,per Annum,1820,62875.43,12.25,455.22,5172.68,34.55,FALSE
2025,67,ADMIN FOR CHILDREN'S SVCS,7/26/2021,BROOKLYN,YOUTH DEVELOPMENT SPECIALIST,ACTIVE,64994,per Annum,1820,64839.43,810.25,40351.3,7601.33,35.63,FALSE
2025,67,ADMIN FOR CHILDREN'S SVCS,5/17/2021,BROOKLYN,YOUTH DEVELOPMENT SPECIALIST,ACTIVE,64994,per Annum,1820,69365.88,511.75,23977.87,5920.26,38.11,FALSE
2025,67,ADMIN FOR CHILDREN'S SVCS,9/24/2007,MANHATTAN,MOTOR VEHICLE SUPERVISOR,ACTIVE,67423,per Annum,2080,65318.01,749.75,36920.03,3146.85,31.4,FALSE
2025,67,ADMIN FOR CHILDREN'S SVCS,5/22/2023,MANHATTAN,CHILD PROTECTIVE SPECIALIST,ACTIVE,68309,per Annum,1603,56532.63,244.25,10418.82,2298.3,35.27,FALSE
2025,67,ADMIN FOR CHILDREN'S SVCS,8/28/2023,BRONX,CHILD PROTECTIVE SPECIALIST,ACTIVE,68309,per Annum,1820,63294.15,344.75,14594.15,72.64,34.78,FALSE
2025,67,ADMIN FOR CHILDREN'S SVCS,8/28/2023,BROOKLYN,CHILD PROTECTIVE SPECIALIST,ACTIVE,68309,per Annum,1680,57978.57,0,0,107.25,34.51,FALSE
2025,67,ADMIN FOR CHILDREN'S SVCS,5/23/2022,BRONX,CHILD PROTECTIVE SPECIALIST,ACTIVE,68309,per Annum,1820,64929.99,101,4147.38,4226.06,35.68,FALSE
2025,67,ADMIN FOR CHILDREN'S SVCS,7/9/2018,MANHATTAN,YOUTH DEVELOPMENT SPECIALIST,ACTIVE,68537,per Annum,1890,70357.87,46.25,2119.07,6856.18,37.23,FALSE
